Office,Type of Program,Region,Country,Partner,Program Name,Location (Region),lat,long,Location (District or Municipality),Award Date,Expiration Date,FY14 Contribution,Notes,
Development,," $7,384,000 ",USAID/Food for Peace,Bangladesh,ANE,Khulna,89.5526585,"Khulna, Narail, Bagerhat
",Program for Strengthening Household Access to Resources (PROSHAR),22.8215655,ACDI,FFP anticipates awarding new programs in FY15,,5/24/10
Development,," $18,475,000 ",USAID/Food for Peace,Bangladesh,ANE,"Mymensing, Cox's Bazaar, Rangpur, Sirajganj",90.3972045,"Mymensingh, Jamalpur, Sunamganj, Cox's Bazaar, Kurigram, Nilphamari, Rangpur, Dinajpur, Bogra, Sirajganj, Pabna",Strengthening Households' Ability to Partner for New Opportunities (SHAPNO),24.7612675,CARE,FFP anticipates awarding new programs in FY15,,2/17/04
Development,," $7,266,000 ",USAID/Food for Peace,Bangladesh,ANE,Barisal,90.4295709174807,"Barisal, Barguna, Patuakhali",Nobo Jibon,22.42181225,Save the Children,FFP anticipates awarding new programs in FY15,,6/30/04
Development,," $6,609,000 ",USAID/Food for Peace,Burkina Faso,WAS,Sanmatenga,-1.055833,"Barsalogho, Kaya, Pissila, Namissiguima",Victory Against Malnutrition (ViM),13.413889,ACDI,Includes $5 million in CDF each year,,7/11/11
Development,," $5,856,000 ",USAID/Food for Peace,Burkina Faso,WAS,"Gnagna, Komondjari, Namentenga",,"Tougouri, Bouroum, Nagbingou, Yalgo, Koalla, Manni, Thion, Barti�bougou, Foutouri, Gayeri

",Families Achieving Sustainable Outcomes (FASO),,CRS,Includes $5 million in CDF each year,,6/10/10
Development,, $-   ,USAID/Food for Peace,Burundi,CSA,"Cankuzo, Ruyigi ",30.5223733836506,"Kigamba, Mishiha, Cankuzo, Gisagara, Cendajuru, Butezi, Ruyigi, Bweru, Gisuru, Butanganzwa, Nyabitsinda, Kinyinya",Tubaramure (PM2A),-3.03677485,CRS,FFP anticipates awarding new program in FY14,,8/4/08
Development,," $8,991,000 ",USAID/Food for Peace,Congo (DRC),CSA,South Kivu,,"Minova, Kalehe, Lemera, Ruzizi, Uvira, Nundu, Fizi",JENGA II,,ADRA,,,7/15/11
Development,," $10,445,000 ",USAID/Food for Peace,Congo (DRC),CSA,"South Kivu, Katanga",,"Walungu, Mubumbano, Nyemba, Kalemie, Moba, Kasimba",,,FHI,,,7/15/11
Development,," $5,388,000 ",USAID/Food for Peace,Congo (DRC),CSA,North Kivu,,"Birambizo, Butembo, Beni",RISE,,Mercy Corps,,,8/5/11
Development,," $15,011,000 ",USAID/Food for Peace,Ethiopia,EAH,Oromia (Dire Dawa),39.83333,"Babile, Kersa, Meta, Goro Gutu, Melka Bello, Deder",Development Food Aid Program (DFAP),10.75,CRS,,,8/15/11
Development,," $25,330,000 ",USAID/Food for Peace,Ethiopia,EAH,"Amhara (South Gondar Zone), Amhara (North Wollo Zone), Amhara (Wag Hamira Zone)",,"Lay Gayint, Tach Gayint, Simada, Bugna, Lasta, Wadla, Dehana, Gaz-Gibla, Sekota",Productive Safety Net Program (PSNP),,FHI,,,8/16/11
Development,," $36,519,000 ",USAID/Food for Peace,Ethiopia,EAH,"Tigray (Central Zone, Eastern Zone, Southern Zone)",,"Ahferom, Werie Leke, Mereb Leke, Kolla Tembien, Tanqua Abergelle, Kilte Awlealo, Ganta Afeshum, Gulo Mekeda, Hawzien, Degua Tembien, Samre Seharti, Raya Azebo",Tigray Productive Safeyty Net Program (TPSNP),,REST,,,8/16/11
Development,," $17,760,000 ",USAID/Food for Peace,Ethiopia,EAH,"Somali, Oromia",,"Dolo Ado, Dolo Bay, Barre, Yabello, Dhas, Dugda Dawa, Arero",Transformation to Food Security Development Food Aid Program (T2FS DFAP),,Save the Children,,,9/30/11
Development,," $6,276,200 ",USAID/Food for Peace,Guatemala,LAC,"Totonicapan, San Marcos",-91.7490145,"Comitancillo, San Lorenzo, Concepci�n Tutuapa,  San Jos� Ojetenam, Santa Lucia La Reforma, Santa Maria Chiquimula, Momostenango, Totonicap�n ","Seguridad Alimentaria Enfocada en los Primeros 1,000 D�as (SEGAMIL)",15.0909362,CRS,Includes $5 million in CDF each year,,8/1/12
Development,," $2,159,300 ",USAID/Food for Peace,Guatemala,LAC,Alta Verapaz,,"Cob�n, Carcha, Cahab�n, Lanqu�n, Senah�",Programa Comunitario Materno Infantil de Diversificaci�n Alimentaria (PROCOMIDA),,Mercy Corps,NCE into 2015,,7/1/09
Development,," $6,600,100 ",USAID/Food for Peace,Guatemala,LAC,"Quiche, Huehuetenango, Quetzaltenango",-91.1777887211247,"Nebaj, Chajul, Cotzal, Cun�n, Uspant�n, Chichicastenango, Chiquirichapa, Ostuncalco, Jacaltenango, S. Antonio Huista, Concepci�n Huita, Todos Santos, Chiantla",Integrated Food Security Actions in the Western Highlands (PAISANO),15.6008623,Save the Children,Includes $5 million in CDF each year,,8/1/12
Development,," $20,000,000 ",USAID/Food for Peace,Haiti,LAC,"Artibonite, Center, Northwest Southeast, West",,"Gonaives (Rural), Gonaive (Urban), Anse Rouge, Terre Neuve, Thomassique, Cerca Carvajal, Cerca La Source, Thomonde, Hinche, Boucan Carre, Baie de Henne, Bombardopolis, Mole Saint Nicolas,  Jean Rabel, Bassin Bleu, Port-de-Paix (Rural), Port-de-Paix (Urban), Anse-a-Pitre, Belle Anse, Grand Gosier, La Valle, Cote de Fer, Thiotte, Anse-�-Galets, Pointe-�-Raquette",Kore Lavi,,CARE,Each year includes projected $12 million in CDF,,8/12/13
Development,," $8,066,000 ",USAID/Food for Peace,Liberia,WAS,Bong and Nimba ,-9.96488687020726,"Salala, Sanoyea, Wee Gbey Mahn, Zoe Gbao, Gbor , YarpeaMah","Liberian Agricultural Upgrading, Nutrition and Child Health (LAUNCH)",6.77694995,ACDI,FFP anticipates awarding new programs in FY15,,6/10/10
Development,," $5,781,700 ",USAID/Food for Peace,Liberia,WAS,"Grand Gedeh, River Gee ",,,"Health, Agriculture and Nutrition Development for Sustainability (HANDS)",,OICI,FFP anticipates awarding new programs in FY15,,6/10/10
Development,, $-   ,USAID/Food for Peace,Madagascar,CSA,"South, Southeast, Center, East ",49.7655872,"Mananara Avaratra, Eenoarivo Atsinanana, Vavatenina, Vatomandry, Mahanoro, Nosy Varika, Mananjary, Fandriana, Ambositra, Manandriana, Ifanadiana, Mananakra, Ikongo, Vohipeno, Farafangana, Vangaindranao, Amboasary Atismo, Ambovombe, Bekily, Beloha, Tsihombe",SALOHI,-16.1687557,CRS,FFP anticipates awarding new programs in FY14,,5/19/09
Development,, $-   ,USAID/Food for Peace,Malawi,CSA,Southern Region,35.261946,"Nsanje, Chikwawa, Thyolo, Mulanje, Zomba, Machinga, Chiradzulu, Balaka",WALA,-16.9232359,CRS,FFP anticipates awarding new programs in FY14,,5/8/09
Development,," $8,334,000 ",USAID/Food for Peace,Niger,WAS,"Maradi, Zinder",7.60884703773667,"Mayahi, Kantche",PASAM-TAI,14.10835,CRS,Includes $5 million in CDF each year,,7/27/12
Development,," $5,571,000 ",USAID/Food for Peace,Niger,WAS,"Maradi, Zinder",,"Chadakori, Sabonmachi, Dan Goulbi and Guida Roumdji, Dogo, Droum, Kol�ram, Mirriah, Zermou, Gafati, Dakoussa ",SAWKI,,Mercy Corps,Includes $4 million in CDF each year,,9/17/12
Development,," $6,072,000 ",USAID/Food for Peace,Niger,WAS,Maradi,,"Agui�, Guidan Roumdji ","Livelihoods, Agriculture and Health Interventions in Action (LAHIA)",,Save the Children,Includes $4 million in CDF each year,,9/17/12
Development,," $11,581,000 ",USAID/Food for Peace,Sierra Leone,WAS,"Northern Province, Eastern Province",-12.1148024,"Bombali, Koinadugu, Kailahun, Tonkolili",Sustainable Nutrition and Agricultural Promotion (SNAP),9.2388372,ACDI,Funding ends in 2015,,6/10/10
Emergency,," $12,397,538 ",USAID/Food for Peace,South Sudan,EAH,,,,Jonglei Food Security Program (JFSP),,CRS,Emergency $ used in FY14; unclear if program will require additional funds in FY15,,8/15/11
Development,," $10,977,313 ",USAID/Food for Peace,Uganda,CSA,Karamoja,34.171415903571,"Napak, Nakapiripirit, Moroto, Amudat",RWANU,2.3981753,ACDI,Includes $5 million in CDF each year,,8/17/12
Development,," $8,926,687 ",USAID/Food for Peace,Uganda,CSA,Karamoja,34.014708076739,"Kaabong, Kotido, Abim",,3.6582768,Mercy Corps,Includes $5 million in CDF each year,,7/20/12
Development,," $12,083,000 ",USAID/Food for Peace,Zimbabwe,CSA,"Masvingo, Manicaland ",,"Bikita, Chivi, Zaka, Buhera, Chipinge, Chimanimani ",ENSURE,,WV,,,6/14/13
Development,," $7,746,000 ",USAID/Food for Peace,Zimbabwe,CSA,"Matabeleland North, Matabeleland South",27.7570633,"Tsholotsho, Bulilima, Mangwe, Gwanda",,-19.7662902,CNFA,,,6/14/13
Emergency,,"$5,000,000 ",USAID/Food for Peace,Yemen,ANE,,,,EFSP,,Save the Children,,12/30/16,9/27/13
Emergency,,"$5,000,000 ",USAID/Food for Peace,Yemen,ANE,,,,EFSP,,Global Communities,,12/30/16,9/27/13
Emergency,,"$5,000,000 ",USAID/Food for Peace,Yemen,ANE,,,,EFSP,,Mercy Corps,,12/30/16,9/27/13
Emergency,,"9,498,300",USAID/Food for Peace,Zimbabwe,CSA,,,,PRRO 200453,,WFP,,4/30/15,5/1/13
Emergency,,"64,136,400",USAID/Food for Peace,Ethiopia,EAH,,,,JEOP,,CRS,,7/31/14,8/1/12
Emergency,,"30,233,000",USAID/Food for Peace,Ethiopia,EAH,,,,PRRO 200290,,WFP,,9/30/14,10/7/11
Emergency,,"34,003,700",USAID/Food for Peace,Kenya,EAH,,,,PRRO 200294,,WFP,,9/30/14,5/1/12
Emergency,,"513,800",USAID/Food for Peace,Burkina Faso,WAS,,,Countrywide,PRRO 200509,,WFP,,12/30/14,1/1/14
Emergency,,"23,420,500",USAID/Food for Peace,Niger,WAS,,11.0310512,"Agadez, Diffa, Dosso, Maradi, Tahoua, Tillab�ri , Zinder",PRRO 200583,19.8800366,WFP,,12/30/16,1/1/14
Emergency,,"$1,896,200 ",USAID/Food for Peace,Senegal,WAS,,,,PRRO 200138 turning into 200681,,WFP,,12/30/16,6/1/14
